Wavelength,I,Calibrated
382.014,0.184344,0.023553148008626297
382.04699999999997,0.18561,0.023760247879280973
382.079,0.182873,0.0234471878801009
382.11199999999997,0.185823,0.023855249133416502
382.144,0.185354,0.023818627631885008
382.17699999999996,0.182224,0.023439810641582324
382.209,0.184819,0.023792373362382324
382.241,0.194471,0.025046403324699422
382.274,0.201337,0.02593612095908074
382.306,0.201403,0.025943476623539338
382.339,0.201274,0.025927670371520824
382.371,0.21305500000000002,0.027451855496031206
382.404,0.221638,0.028560987295526922
382.436,0.215209,0.027721282683654577
382.469,0.21334699999999998,0.0274636634839855
382.501,0.21641100000000002,0.027839462168695747
382.534,0.217271,0.02792003917828052
382.566,0.21872399999999997,0.028066694157988025
382.598,0.23439400000000002,0.030036657803899545
382.631,0.242321,0.031022214341894276
382.663,0.239912,0.03069737919443833
382.69599999999997,0.240198,0.030711377999977155
382.728,0.25258200000000003,0.0322677102244659
382.76099999999997,0.260306,0.033232056368384735
382.793,0.24736100000000003,0.03156403022826954
382.82599999999996,0.256538,0.03272243202089299
382.858,0.26425,0.03370153706319229
382.89,0.262077,0.03342742826643447
382.923,0.273194,0.03485262474431517
382.955,0.277532,0.035410615877047115
382.98800000000006,0.280535,0.035795697007564034
383.02,0.277373,0.03539633851191152
383.05300000000005,0.27269299999999996,0.03482090817415204
383.085,0.27981100000000003,0.03577414510916018
383.11800000000005,0.280624,0.03593221337989709
383.15,0.28313299999999997,0.03631452718065893
383.18199999999996,0.285531,0.036685068898609174
383.215,0.280855,0.0361255313100018
383.24699999999996,0.289716,0.0372845838972742
383.28,0.295842,0.03808816495016253
383.31199999999995,0.298066,0.03839076280008255
383.345,0.30804899999999996,0.039706078258438436
383.37699999999995,0.305307,0.039408921697649896
383.409,0.311948,0.040348283129573295
383.44199999999995,0.318701,0.04132638755418711
383.474,0.30643200000000004,0.039841553234522334
383.50699999999995,0.302688,0.039455406619354226
383.539,0.310752,0.040587787012661906
383.57199999999995,0.312651,0.04089577412589266
383.60400000000004,0.307726,0.040299459669519026
383.63699999999994,0.30799899999999997,0.04037301013282235
383.66900000000004,0.303745,0.03984337644279726
383.70099999999996,0.301172,0.039533874873649476
383.73400000000004,0.30283000000000004,0.03977774704615482
383.76599999999996,0.30137600000000003,0.03961154317887407
383.79900000000004,0.304186,0.04000348144215188
383.83099999999996,0.308042,0.04052230851739644
383.86400000000003,0.308111,0.04053750737601839
383.89599999999996,0.311218,0.04095263753087542
383.92800000000005,0.320151,0.04214002490203778
383.961,0.329251,0.04334442165883943
383.99300000000005,0.329352,0.043360428288599824
384.026,0.326587,0.043004213532125246
384.05800000000005,0.331814,0.04371589324293747
384.09,0.340607,0.04491374745008407
384.12300000000005,0.34276100000000004,0.04526136582916446
384.155,0.356168,0.047127158158722975
384.18800000000005,0.35582199999999997,0.04719593494330316
384.22,0.36212,0.04814960821954588
384.25300000000004,0.38945,0.051901268451002375
384.285,0.399382,0.05332410534558484
384.31699999999995,0.394158,0.05270132753618638
384.35,0.399097,0.053423886804221984
384.38199999999995,0.412264,0.05524828024305895
384.415,0.439255,0.05893330832977237
384.44699999999995,0.451088,0.06057449700446974
384.48,0.461887,0.062051380611504565
384.51199999999994,0.469199,0.06302129408162158
384.54400000000004,0.483687,0.06492052408492617
384.577,0.501768,0.06726934798385809
384.60900000000004,0.513342,0.06870709252072646
384.642,0.514067,0.06867661009461684
384.67400000000004,0.530361,0.07075404470032083
384.70599999999996,0.5640970000000001,0.0751885829590449
384.73900000000003,0.570639,0.07601149037141988
